id	name	plz	ort	website	telefon	loecher	restaurant	driving_range	schnupperkurse	platzreifekurse	email	notiz
705	Thermen Golf Bad Füssing-Kirchham e.V.	94072	Bad Füssing	https://www.thermengolf.de	08537 91990	18	1	1	1	1	info@thermengolf.de	 | alle: info@thermengolf.de
664	MARC AUREL Spa & Golf Resort	93333	Bad Gögging	https://www.marcaurel.de	(0 94 45) 95 8-0	9	0	1	0	0	info@twomedia.biz	 | alle: info.marcaurel@dorint.com, info@twomedia.biz
247	Golf-Resort Bad Griesbach e.V.	94086	Bad Griesbach	http://www.quellness-golf.com	0 85 32 - 79 00	129 (5*18/3*9/2*6)	1	1	1	1	info@quellness-golf.com	 | alle: info@quellness-golf.com, golfresort@quellness-golf.com, poststelle@landkreis-passau.de, info@landkreis-passau.de-mail.de, gutshof-uttlau@quellness-golf.com, gutshof-brunnwies@quellness-golf.com
490	Golfclub Sagmühle e.V.	94086	Bad Griesbach	https://www.sagmuehle.de	+498532  2038	18	1	1	1	1	info@sagmuehle.de	 | alle: info@sagmuehle.de, info@fstreicher.com
173	Golf-Club Bad Kissingen e.V.	97688	Bad Kissingen	https://www.golfclubbadkissingen.de/	0971 3608	18	0	1	1	1	info@golfclubbadkissingen.de	 | alle: info@golfclubbadkissingen.de
400	Golfclub Isarwinkel e.V.	83646	Bad Tölz	https://www.gc-isarwinkel.de	(0 80 41) 77 8 77	9	1	1	1	1	info@gc-isarwinkel.de	 | alle: info@gc-isarwinkel.de, luedeling@grafik-sl.de, info@schullerdesign.de, info@wp-design24.de
703	Tegernseer Golf-Club Bad Wiessee e.V.	83707	Bad Wiessee	https://www.tegernseer-golf-club.de	08022 271130	18	1	1	0	0	info@tegernseer-golf-club.de	 | alle: info@tegernseer-golf-club.de, restaurant@tegernseer-golf-club.de, shop@tegernseer-golf-club.de, greenkeeper@tegernseer-golf-club.de
469	Golfclub Reichsstadt Bad Windsheim e.V.	91438	Bad Windsheim	https://www.golf-bw.de	09841 5027	18/6	1	1	1	1	kontakt@golf-bw.de	 | alle: kontakt@golf-bw.de, gc.badwindsheim@t-online.de, website@golf-bw.de, ks@shrose.de
381	Golfclub Hauptsmoorwald Bamberg e.V.	96050	Bamberg	https://www.gc-hauptsmoorwald.de	0951 9684331	9	0	0	1	1	sekretariat@gc-hauptsmoorwald.de	 | alle: info@golfschule-bamberg.de, sekretariat@gc-hauptsmoorwald.de
178	Golf-Club Bayreuth e.V.	95448	Bayreuth	https://www.golfclub-bayreuth.de	0921 970704	18/9	1	1	1	1	info@gc-bayreuth.de	 | alle: info@gc-bayreuth.de
8	Altmühlgolf Beilngries GmbH	92339	Beilngries	https://www.altmuehlgolf.de	08461 6063333	9	1	1	1	1	info@altmuehlgolf.de	 | alle: info@altmuehlgolf.de
304	Golfclub Berchtesgaden e.V.	83471	Berchtesgaden	https://www.golfclub-berchtesgaden.de	+4986522100	9	0	1	0	0	info@golfclub-berchtesgaden.de	 | alle: info@golfclub-berchtesgaden.de
610	Golfplatz Stenz	86975	Bernbeuren	https://www.golfplatz-stenz.de	08860 582	9	1	1	1	1	golfplatz.stenz@t-online.de	 | alle: golfplatz.stenz@t-online.de
293	Golfclub Augsburg e.V.	86399	Bobingen-Burgwalden	http://www.golfclub-augsburg.de	08234 5621	18 + 6 Loch Kurzplat	1	1	1	1	info@golfclub-augsburg.de	 | alle: info@gcstd.de, info@golfclub-augsburg.de
254	Golfanlage Gut Leimershof	96149	Breitengüßbach	http://www.leimershof-golfanlage.de	095478709939	18 Loch	1	0	1	1	info@leimershof-golfanlage.de	 | alle: info@leimershof-golfanlage.de
591	Golfpark Rothenburg-Schönbronn	91592	Buch am Wald	https://www.gp-rbg.de	09868 959530		1	0	1	1		Fehler: URLError
432	Golfclub Memmingen Gut Westerhart e.V.	87740	Buxheim	https://www.golfclub-memmingen.de	0833171016	18/9	1	1	1	1	info@golfclub-memmingen.de	 | alle: info@golfclub-memmingen.de
85	Golf Club Gut Ising e.V.	83339	Chieming/ Ising	https://www.gut-ising.de	(0 86 67) 7 93 58	9	1	1	0	1	hotel@gut-ising.de	 | alle: hotel@gut-ising.de, office@diepraxis.cc
291	Golfclub Ansbach e.V.	91598	Colmberg	https://www.golf-ansbach.de	09803600	18	1	1	1	1	info@golf-ansbach.de	 | alle: sekretariat@golf-ansbach.de, info@golf-ansbach.de
75	Golf Club Dachau e.V.	85221	Dachau	https://www.gcdachau.de	08131 10879	9	0	1	1	0	info@gcdachau.de	 | alle: info@gcdachau.de
326	Golfclub Dillingen Nusser-Alm GmbH	89407	Dillingen	https://www.gc-dillingen.de	09071 705958	9	1	0	1	1	info@gc-dillingen.de	 | alle: info@gc-dillingen.de
327	Golfclub Dinkelsbühl e. V.	91550	Dinkelsbühl	https://www.golfclub-dinkelsbühl.de	09851582259	9-Loch	0	1	0	0		Fehler: URLError
575	Golfpark Donauwörth	86609	Donauwörth	https://www.golfpark-donauwoerth.de/	0906 4044	18/4	1	1	1	1	info@golfpark-donauwoerth.de	 | alle: info@golfpark-donauwoerth.de
379	Golfclub Hassberge e.V.	97500	Ebelsbach (OT. Steinbach)	https://www.golfclub-hassberge.de	09522 7085500	18	1	1	1	1	info@golfclub-hassberge.de	 | alle: info@golfclub-hassberge.de, 01info@golfclub-hassberge.de
351	Golfclub Fränkische Schweiz e.V.	91320	Ebermannstadt	https://www.gc-fs.de	091944827	18	1	1	1	1	info@gc-fs.de	 | alle: info@gc-fs.de, hotel-royal@sitejet.io
273	Golfanlagen Erlangen Besitz GmbH & Co. KG	90542	Eckental	https://www.gc-erlangen.de	09 11 - 37 36 37 6	18	0	0	0	0	info@gc-erlangen.de	 | alle: info@gc-erlangen.de
440	Golfclub München-Riedhof e.V.	82544	Egling	https://www.riedhof.de	08171 21950	18	1	1	1	1	info@riedhof.de	 | alle: info@riedhof.de
494	Golfclub Schloss Egmating	85658	Egmating	https://www.gc-egmating.de	08095 90860		1	0	1	1	empfang@gc-egmating.de	 | alle: empfang@gc-egmating.de
438	Golfclub München Eichenried	85452	Eichenried	https://www.gc-eichenried.de	08123 93080	27	1	1	1	1	info@gc-eichenried.de	 | alle: info@gc-eichenried.de, michel@gc-eichenried.de, greenkeeper@gc-eichenried.de, rebetge@gc-eichenried.de, jugend@gc-eichenried.de, sport@gc-eichenried.de
21	Bavarian Golfclub München-Eicherloh e.V.	85464	Eicherloh	https://www.bavariangc.de	08123 1064	9	1	1	1	1	info@bavariangc.de	 | alle: info@bavariangc.de
563	Golfclub Zollmühle e.V.	91792	Ellingen	https://www.golfanlage-zollmuehle.de	(0 91 41) 39 76	18/9	1	1	1	1	info@golfanlage-zollmuehle.de	 | alle: info@golfanlage-zollmuehle.de
606	Golfplatz Leonhardshaun	84061	Ergoldsbach	https://www.golfplatz-leonhardshaun.de	08771 4096380	9	1	1	1	1	info@golfplatz-leonhardshaun.de	 | alle: info@golfplatz-leonhardshaun.de, info@lagolfstore.de
345	Golfclub Eschenried e.V.	85232	Eschenried	https://www.muenchner-golf-eschenried.de	0813156740	69 (18+18+18+9+6)	1	1	1	1	info@golf-eschenried.de	 | alle: info@golf-eschenried.de, clubmanager@golf-eschenried.de, info@golf-gh.de
307	Golfclub Beuerberg e.V.	82547	Eurasburg	https://www.golfclub-beuerberg.de	08179 617	18	1	1	1	0	info@gc-beuerberg.de	 | alle: partner@golf-lernen-videoportal.de, info@gc-beuerberg.de, agentur@qfact.de, erik@gc-beuerberg.de, greenkeeping@gc-beuerberg.de, golf@ceta-gmbh.de
188	Golf-Club Feldafing e.V.	82340	Feldafing	https://www.golfclub-feldafing.de	08157 9334-0	18	1	1	1	1	info@golfclub-feldafing.de	 | alle: info@golfclub-feldafing.de, info@isy-marketing.de
686	Panorama Golf Passau	94081	Fürstenzell	https://www.panorama-golf.info	08502917160	18 Loch Anlage	1	1	1	1	info@panorama-golf.info	 | alle: office@panorama-golf.info, info@panorama-golf.info, datenschutz@thermengolf.de
1	1. Golf Club Fürth e.V.	90768	Fürth	https://www.golfclub-fuerth.de	0911 757522	18+9	1	1	1	1	info@golfclub-fuerth.de	 | alle: info@golfclub-fuerth.de, ra@golfclub-fuerth.de
413	Golfclub Landshut e.V.	84095	Furth	https://www.golf-landshut.de	08704 8378	18	1	1	1	1	sekretariat@golf-landshut.de	 | alle: sekretariat@golf-landshut.de, aroma.golf.restaurant@gmail.com
190	Golf-Club Furth im Wald e.V.	93437	Furth im Wald	https://www.gc-furth.de	09973 2089	18	1	1	1	1	info@gc-furth.de	 | alle: info@gc-furth.de
656	Land- und Golf-Club Werdenfels e.V.	82467	Garmisch-Partenkirchen	https://www.golfclub-werdenfels.de	08821-945670	9/3	1	1	1	1	info@golfclub-werdenfels.de	 | alle: info@golfclub-werdenfels.de, info@steakhouse-woods.de, christiansgolftrolleys@gmx.de
392	Golfclub Hof e.V.	95185	Gattendorf	https://www.gc-hof.de	09281 470155	18	1	1	1	1	mail@gc-hof.de	 | alle: mail@gc-hof.de
527	Golfclub Steigerwald in Geiselwind e.V.	96160	Geiselwind	https://www.golfclub-steigerwald.de	(0 95 56) 14 84	18 + 6 (Kurzplatz)	1	1	1	1		keine Adresse gefunden
618	GolfRange München-Germering Süd	82110	Germering	https://www.golfrange.de	08915001120	18	1	1	1	1	info@golfrange.de	 | alle: typo3@dialoop.de, info@golfrange.de, mail@dialoop.de
577	GolfPark Gerolsbach	85302	Gerolsbach	http://www.golfpark-gerolsbach.de	08445 799	18	1	1	1	1	info@golfpark-gerolsbach.de	 | alle: info@golfpark-gerolsbach.de, info@calmar.cc
227	Golf-Club Schloss Elkofen e.V.	85567	Grafing	https://www.gcschlosselkofen.de	08092 7494	18	1	1	1	1	info@gcschlosselkofen.de	 | alle: info@gcse.de, c0307327b41fde1418b29585e82df114fb28fa39bf2a540e2c82608e1b918445kursbuchung@gcschlosselkofen.de, info@gcschlosselkofen.de, j.schunda@gcschlosselkofen.de
35	Das Achental	83224	Grassau	https://www.das-achental.com	08641 401-717	18	1	1	1	1	info@das-achental.com	 | alle: reservierung@das-achental.com, info@das-achental.com, mschmitt@das-achental.com, esigl@das-achental.com, essenz@das-achental.com, bberger@das-achental.com
277	Golfclub Altötting-Burghausen e.V.	84533	Haiming	https://www.gc-altoetting-burghausen.de	08678 986903	18/9	1	1	1	0		keine Adresse gefunden
257	Golfanlage Harthausen	85630	Harthausen	https://www.golfanlage-harthausen.de	08106 35440	18	1	1	1	1	info@golfanlage-harthausen.de	 | alle: typo3@dialoop.de, info@golfanlage-harthausen.de, info@golfrange.de, mail@dialoop.de
695	Rottaler Golf- und Country-Club e.V.	84332	Hebertsfelden	https://www.rottaler-gc.de	0 85 61  59 69	18	1	1	1	1	info@rottaler-gc.de	 | alle: typo3@dialoop.de, info@rottaler-gc.de
199	Golf-Club Herzogenaurach e.V.	91074	Herzogenaurach	https://www.golfclub-herzogenaurach.de	09132 40586	18	1	1	1	1	info@golfclub-herzogenaurach.de	 | alle: info@golfclub-herzogenaurach.de
204	Golf-Club Höslwang im Chiemgau e.V.	83129	Höslwang	https://www.golfclub-hoeslwang.de	08075 714	18	1	1	1	1	info@golfclub-hoeslwang.de	 | alle: info@golfclub-hoeslwang.de
397	Golfclub Iffeldorf e.V.	82393	Iffeldorf	https://www.golfplatz-iffeldorf.de	08856 92550	18	1	1	1	1	info@golfplatz-iffeldorf.de	 | alle: info@golfplatz-iffeldorf.de, restaurant@golfplatz-iffeldorf.de, greenkeeping@golfplatz-iffeldorf.de, friso@pfeffer-internet.de
205	Golf-Club Ingolstadt e.V.	85049	Ingolstadt	https://www.golf-ingolstadt.de	+49 (841) 85778	18	1	1	1	1	info@golf-ingolstadt.de	 | alle: info@golf-ingolstadt.de, dsb-muenchener-gc@compcor.de
150	Golf- und Land-Club Regensburg e.V.	93093	Jagdschloss  Thiergarten	https://www.golfclub-regensburg.de	0 94 03  5 05	18	1	1	1	1	sekretariat@golfclub-regensburg.de	 | alle: sekretariat@golfclub-regensburg.de
107	Golf Club Schloß Klingenburg e.V.	89343	Jettingen-Scheppach	https://www.golf-klingenburg.de	08225 3030	18	1	1	1	1	info@golf-klingenburg.de	 | alle: info@golf-klingenburg.de
593	Golfpark Schloßgut Lenzfried	87437	Kempten / Allgäu	https://www.golfparklenzfried.de	08315129550	9	0	1	1	1	info@golfparklenzfried.de	 | alle: info@golfparklenzfried.de
233	Golf-Club Straubing Stadt und  Land e.V.	94356	Kirchroth	https://www.golfclub-straubing.de	094287169	18/9	0	1	0	0	info@golfclub-straubing.de	 | alle: info@golfclub-straubing.de
617	GolfRange München-Brunnthal	85649	Kirchstockach	https://www.golfrange.de	08102 74740	9	1	1	1	1	info@golfrange.de	 | alle: typo3@dialoop.de, info@golfrange.de, mail@dialoop.de
96	Golf Club Kitzingen e.V.	97318	Kitzingen	https://www.golfclub-kitzingen.de	09321 4956	18	1	1	1	1	info@golfclub-kitzingen.de	 | alle: info@golfclub-kitzingen.de, info@weingut-roemmert.de, hotel@richthofen-circle.de
343	Golfclub Erlangen e.V.	91077	Kleinsendelbach	https://www.gc-erlangen.de/	09126 5004	18	1	1	1	1	info@gc-erlangen.de	 | alle: info@gc-erlangen.de
407	Golfclub Königsbrunn e.V.	86343	Königsbrunn	https://www.gc-koenigsbrunn.de	08231 918690	9	1	1	1	1	info@gc-koenigsbrunn.de	 | alle: info@gc-koenigsbrunn.de
416	Golfclub Lechfeld e.V.	86343	Königsbrunn	https://www.gclechfeld.de	08231 32637	9	1	1	1	1	info@gclechfeld.de	 | alle: info@gclechfeld.de, website@gclechfeld.de
472	Golfclub Reit im Winkl e.V.	6345	Kössen	https://www.gcreit.de	+498640798250	18	0	1	1	1	info@gcreit.de	 | alle: vasb@tpervg.qr, info@gcreit.de, sbgb@fgbpxxynhfre.qr
496	Golfclub Schloss Guttenburg e.V.	84559	Kraiburg am Inn	https://www.golfclub-guttenburg.de	(0 86 38) 88 74 88	18	1	1	1	1	info@golfclub-guttenburg.de	 | alle: info@golfclub-guttenburg.de
210	Golf-Club Kronach e.V.	96328	Küps	https://www.gc-kronach.de	09264 8812	18	0	1	0	0	info@gc-kronach.de	 | alle: info@gc-kronach.de
523	Golfclub Sonnenhof	93462	Lam	https://www.sonnenhof-lam.de	09943 37143	9-Loch-Anlage	0	1	0	0	info@sonnenhof-lam.de	 | alle: info@sonnenhof-lam.de, datenschutz@sonnenhof-lam.de
412	Golfclub Landau/Isar e.V.	94405	Landau/Isar	https://www.golfpark-landau.de	09951 599111	9	1	1	1	1	info@golfpark-landau.de	 | alle: info@golfpark-landau.de
415	Golfclub Lauterhofen e.V.	92283	Lauterhofen	https://www.gc-lauterhofen.de	09186 1574	18 und 6 Loch Kurzpl	1	1	1	1	info@gc-lauterhofen.de	 | alle: info@gc-lauterhofen.de
292	Golfclub Auf der Gsteig Lechbruck am See e.V.	86983	Lechbruck	https://www.gsteig.de	08862 987750	18/3	1	1	1	1	info@gsteig.de	 | alle: info@gsteig.de, golf@gsteig.de
419	Golfclub Lichtenau-Weickershof e.V.	91586	Lichtenau	https://www.gclichtenau.de	09827 92040	18	1	1	1	1	info@gclichtenau.de	 | alle: support@fb.com, info@gclichtenau.de, info@villa-golfista.de, reservierung@villa-golfista.de, 9204-44info@gclichtenau.dewww.gclichtenau.depr
213	Golf-Club Lindau-Bad Schachen e.V.	88131	Lindau	https://www.golfclub-lindau.de	08382 9617-0	18	1	1	1	1	info@golfclub-lindau.de	 | alle: info@golfclub-lindau.de
587	Golfpark Oberzwieselau e.V.	94227	Lindberg	https://www.golfpark-oberzwieselau.de	09922.2367	18	0	1	0	0	info@golfpark-oberzwieselau.de	 | alle: info@golfschule-bendinelli.de, info@golfpark-oberzwieselau.de
109	Golf Club Schweinfurt e.V.	97453	Löffelsterz	https://www.golfclub-schweinfurt.de/	09727 5889	18+6	1	1	1	1	info@golfclub-schweinfurt.de	 | alle: info@golfclub-schweinfurt.de
516	Golfclub Schwanhof e.V.	92706	Luhe-Wildenau	https://www.golfclub-schwanhof.de	09607 9202-0	18	1	1	1	1	info@golfclub-schwanhof.de	 | alle: info@golfclub-schwanhof.de
501	Golfclub Schloß Mainsondheim e.V.	97337	Mainsondheim	https://www.golf-mainsondheim.de	09324 4656	18	0	1	1	1	info@golf-mainsondheim.de	 | alle: online@surf-in.net, info@golf-mainsondheim.de, daniel.neuss@lokago.de
579	Golfpark Gut Häusern GmbH & Co. KG	85229	Markt Indersdorf		08139/93280		0	0	0	0		keine Website
422	Golfclub Main-Spessart, Marktheidenfeld-Eichenfürst e.V.	97828	Marktheidenfeld	https://www.gc-msp.de	09391 8435	18/5	1	1	1	1	info@gc-msp.de	 | alle: info@gc-msp.de
537	Golfclub Tegernbach e.V.	82293	Mittelstetten	https://www.gc-tegernbach.de	(0 82 02) 90 57 00	18/6	1	1	1	1	info@gc-tegernbach.de	 | alle: info@gc-tegernbach.de, iris.trinker@gc-tegernbach.de, alexander.burkhart@gc-tegernbach.de
441	Golfclub München-Riem e.V.	81929	München		089 94500800	9/3	0	1	1	0		keine Website
427	Golfclub Maria Bildhausen e.V.	97702	Münnerstadt	https://www.maria-bildhausen.de	09766 1601	18/6	1	1	1	1	info@maria-bildhausen.de	 | alle: info@maria-bildhausen.de
619	GolfRange Nürnberg	91189	Nemsdorf	https://www.golfrange.de	09119880680	9	1	1	1	1	info@golfrange.de	 | alle: typo3@dialoop.de, info@golfrange.de, mail@dialoop.de
250	Golfanlage Alpenseehof	87484	Nesselwang	https://www.golf-alpenseehof.de	08361 925834	9 Loch	1	1	1	1	info@alpenseehof.de	 | alle: info@alpenseehof.de, info@alpenseehof.denutzungsbedingungen
675	New GolfClub Neu-Ulm	89233	Neu-Ulm	https://www.newgolfclub.de	0731 70533315	9	0	1	1	1	info@newgolfclub.de	 | alle: info@newgolfclub.de, info@newgolflclub.de
719	Wittelsbacher Golfclub Rohrenfeld-Neuburg e.V.	86633	Neuburg a.d.Donau	https://www.wbgc.de	08431 908590	18	0	1	1	1	info@wbgc.de	 | alle: info@wbgc.de, reservierung@wbgc.de
720	Zieglers Golfplatz GmbH & Co. KG	86633	Neuburg Heinrichsheim	https://www.zieglersgolfplatz.de	08431 5387844	9	1	1	1	1	info@zieglersgolfplatz.de	 | alle: info@zieglersgolfplatz.de, mail@b2bdesign.de
160	Golf- und Landclub Oberpfälzer Wald e.V.	92431	Neunburg vorm Wald	https://www.golf-oberpfalz.de	09439 466	18	1	1	1	1	info@golf-oberpfalz.de	 | alle: info@golf-oberpfalz.de
289	Golfclub am Reichswald e.V.	90427	Nürnberg		0911 305730	18	1	1	1	1		keine Website
354	Golfclub Garmisch-Partenkirchen e.V.	82496	Oberau	https://www.golfclub-gap.de	08824 8344	18	1	1	1	1	kontakt@golfclub-gap.de	 | alle: kontakt@golfclub-gap.de, support@schedulista.com
337	Golfclub Eggelstetten	86698	Oberndorf	https://golfclub-eggelstetten.de	+49909090250	9	0	1	0	0		Fehler: URLError
451	Golfclub Oberstaufen-Steibis e.V.	87534	Oberstaufen	https://www.golf-oberstaufen.de	08386 8529	18	0	1	0	0	info@golf-oberstaufen.de	 | alle: info@golf-oberstaufen.de
627	Golfzentrum Oberstaufen	87534	Oberstaufen		08386 939250	18/9	0	1	0	0		keine Website
452	Golfclub Oberstdorf e.V.	87561	Oberstdorf	https://www.golfclub-oberstdorf.de	(0 83 22) 28 95	9	0	1	1	1	info@golfclub-oberstdorf.de	 | alle: info@golfclub-oberstdorf.de
37	Der Golf Club am Obinger See	83119	Obing-Kleinornach	https://www.dergolfclub.de	08624 875623		0	0	1	1	dergolfclub@t-online.de	 | alle: dergolfclub@t-online.de
442	Golfclub München-West Odelzhausen e.V.	85235	Odelzhausen	https://www.golfclub-muenchen-west.de	08134 99880	18/5	0	1	1	1	info@gcmw.de	 | alle: info@gcmw.de, info@restaurant-mandolina.de
522	Golfclub Sonnenalp - Oberallgäu e.V.	87527	Ofterschwang	https://www.golf-sonnenalp.de	08321 272912	18	1	1	1	1		Fehler: HTTPError
454	Golfclub Olching e.V.	82140	Olching	https://www.golfclubolching.de	0 81 42  48 290	18	1	1	1	1	sportbuero@golfclubolching.de	 | alle: sportbuero@golfclubolching.de, servus@michelbergergolf.com, info@restaurant-platzhirsch.de
7	Allgäuer Golf- und Landclub e.V.	87724	Ottobeuren	https://www.aglc.de	08332 9251-0	18/6	0	1	1	0	info@aglc.de	 | alle: info@aglc.de
92	Golf Club Hohenpähl e.V.	82396	Pähl	https://www.gchp.de	08808 92020	18	1	1	1	1	info@gchp.de	 | alle: info@gchp.de
461	Golfclub Pfaffing Wasserburger Land e.V.	83539	Pfaffing	https://www.gcpwl.de	08076 8891870	27 Loch	1	1	1	1	club@gcpwl.de	 | alle: club@gcpwl.de
647	Jura Golf e.V. Hilzhofen	92367	Pilsach	https://www.juragolf.de	09182 9319140	18/9	0	1	0	0	info@juragolf.de	 | alle: info@juragolf.de, akademie@juragolf.de
464	Golfclub Pleiskirchen e.V.	84568	Pleiskirchen	https://www.golfclub-pleiskirchen.de	08635 708903	18	1	1	1	1		keine Adresse gefunden
103	Golf Club Pottenstein Weidenloh e.V.	91278	Pottenstein	https://www.gc-pottenstein.de	09243929220	18	1	1	1	1		keine Adresse gefunden
32	Chiemsee Golf-Club Prien e.V.	83209	Prien	https://www.cgc-prien.de	08051 62215	18  (seit 2009)	1	1	1	1	info@cgc-prien.de	 | alle: info@cgc-prien.de
672	München GolfCity GmbH	82178	Puchheim	https://www.golfcity.de	04139 6970615		0	0	1	0	koeln@golfcity.de	 | alle: koeln@golfcity.de
506	Golfclub Schloss Reichertshausen e.V.	85293	Reichertshausen	https://www.gcr.de	08137 5084	18/5	0	1	1	1	info@gcr.de	 | alle: info@gcr.de
511	Golfclub Schloßberg e.V.	94419	Reisbach	https://www.golfclub-schlossberg.de	08734 7035	18	1	1	1	1	info@golfclub-schlossberg.de	 | alle: info@golfclub-schlossberg.de
301	Golfclub Bad Wörishofen e.V.	87668	Rieden	https://www.gc-bw.de	08346 777	18	1	1	1	1	info@gc-bw.de	 | alle: info@gc-bw.de, michael.galanis@gc-bw.de, frank.habeth@projectgolfacademy.com, foleja.restaurant@outlook.com
692	Reversible Golf Patting	83083	Riedering	https://www.golf-patting.de	08032 1030	2 x 9 >Loch	1	1	1	1		keine Adresse gefunden
485	Golfclub Rottbach e.V.	82216	Rottbach	https://www.golfanlage-rottbach.de	0813593290	27 + 3-Loch Kurzplat	1	1	1	1	info@rottbach.de	 | alle: typo3@dialoop.de, info@rottbach.de, info@golfrange.de, mail@dialoop.de
69	Golf Club am Eixendorfer See	92444	Rötz	https://www.golf-eixendorfer-see.de	09976 2017247		0	0	1	1	info@golf-eixendorfer-see.de	 | alle: info@golf-eixendorfer-see.de
488	Golfclub Ruhpolding e.V.	83324	Ruhpolding	https://www.golfclub-ruhpolding.de	0 86 63  24 61	18	0	1	1	1	info@golfclub-ruhpolding.de	 | alle: info@golfclub-ruhpolding.de, hannes@mountinspire.com
359	Golfclub Goldachtal e.V.	84427	Sankt Wolfgang	https://www.golfclub-goldachtal.de	08085 939102		0	0	0	0		keine Adresse gefunden
36	Deggendorfer Golfclub e.V.	94571	Schaufling	https://www.deggendorfer-golfclub.de	09920 8911	18	1	1	1	1	info@deggendorfer-golfclub.de	 | alle: info@deggendorfer.golfclub.de, deggendorfer.golfclub@t-online.de, info@deggendorfer-golfclub.de
609	Golfplatz Scheidegg	88175	Scheidegg		08381 8899380		0	0	0	0		keine Website
162	Golf- und Landclub Schmidmühlen e.V.	92287	Schmidmühlen	https://www.golf-schmidmuehlen.de	09474 701	18	1	1	1	1	golf@glcs.bayern	 | alle: golf@glcs.bayern
66	Golf & Yachtclub Gut Minoritenhof	93161	Sinzing	https://www.golfsinzing.de	0941 3786100		1	0	1	1	welcome@golfsinzing.de	 | alle: welcome@golfsinzing.de
288	Golfclub am Nationalpark Bayerischer Wald e.V.	94568	St. Oswald	https://www.gcanp.de	08558 974980	18-Loch-Golfplatz	1	1	1	1	info@gcanp.de	 | alle: info@gcanp.de
417	Golfclub Leitershofen e.V.	86391	Stadtbergen	https://www.golfclub-leitershofen.de	0821 437242	9	1	1	0	1	gcl@golfclub-leitershofen.de	 | alle: gcl@golfclub-leitershofen.de
526	Golfclub Starnberg e.V.	82319	Starnberg	https://www.gcstarnberg.de	08151 12157	18	0	1	1	0	club@gcstarnberg.de	 | alle: club@gcstarnberg.de
636	Gut Rieden Sport und Freizeit GmbH	82319	Starnberg	https://www.gut-rieden.de	08151 9077-0	18	0	1	0	0	info@gut-rieden.de	 | alle: info@gut-rieden.de
